No.,ブロックタイプ,タグ名,必要項目,記述,データタイプ,I/Oアドレス,生値,,,スケール変換値,,,,,
1,アナログ,G_1ZTIC,〇,1Z燃焼量指令,FLOAT,FCS1:D:500,0,～,10000,0,～,10000,,,
2,アナログ,G_1ZF_SVK,〇,1Z燃料SV基準,FLOAT,FCS1:D:502,0,～,10000,0,～,10000,,,
3,アナログ,G_1ZF_NF1,〇,1Z燃焼ﾊﾞｰﾅ負荷,FLOAT,FCS1:D:504,0,～,10000,0,～,10000,,,
4,アナログ,G_1ZU1,〇,1Z空気比補正,FLOAT,FCS1:D:506,0,～,10000,0,～,10000,,,
5,アナログ,G_1ZFCL,〇,1Z速応化,FLOAT,FCS1:D:508,0,～,10000,0,～,10000,,,
6,アナログ,G_1ZFSL,〇,1Z燃料設定下限,FLOAT,FCS1:D:510,0,～,10000,0,～,10000,,,
7,アナログ,G_1ZFSH,〇,1Z燃料設定上限,FLOAT,FCS1:D:512,0,～,10000,0,～,10000,,,
8,アナログ,G_1ZFSET,〇,1Z燃料設定,FLOAT,FCS1:D:514,0,～,10000,0,～,10000,,,
9,アナログ,G_1ZA_SVK,〇,1Z空気SV基準,FLOAT,FCS1:D:516,0,～,10000,0,～,10000,,,
10,アナログ,G_1ZASH,〇,1Z空気設定上限,FLOAT,FCS1:D:518,0,～,10000,0,～,10000,,,
11,アナログ,G_1ZASL,〇,1Z空気設定下限,FLOAT,FCS1:D:520,0,～,10000,0,～,10000,,,
12,アナログ,G_1ZAFCL,〇,1Z空気速応化,FLOAT,FCS1:D:522,0,～,10000,0,～,10000,,,
13,アナログ,G_1ZASET,〇,1Z空気設定,FLOAT,FCS1:D:524,0,～,10000,0,～,10000,,,
14,アナログ,G_1ZA0,〇,1ZA0,FLOAT,FCS1:D:526,0,～,10000,0,～,10000,,,
15,アナログ,G_1ZG0,〇,1ZG0,FLOAT,FCS1:D:528,0,～,10000,0,～,10000,,,
16,アナログ,G_1ZU,〇,1Z空気比設定,FLOAT,FCS1:D:530,0,～,10000,0,～,10000,,,
17,アナログ,G_1ZNFS,〇,1Z燃料流量,FLOAT,FCS1:D:532,0,～,10000,0,～,10000,,,
18,アナログ,G_1ZAIRS,〇,1Z空気流量,FLOAT,FCS1:D:534,0,～,10000,0,～,10000,,,
20,アナログ,G_1ZEX0,〇,1Z排ｶﾞｽ流量,FLOAT,FCS1:D:538,0,～,10000,0,～,10000,,,
21,アナログ,G_1ZEX,〇,1Z排ｶﾞｽ流量,FLOAT,FCS1:D:540,0,～,10000,0,～,10000,,,
29,アナログ,G_1ZFNF1,〇,1Zﾊﾞｰﾅ本数,FLOAT,FCS1:D:556,0,～,10000,0,～,10000,,,
30,アナログ,G_2ZTIC,〇,2Z燃焼量指令,FLOAT,FCS1:D:600,0,～,10000,0,～,10000,,,
31,アナログ,G_2ZF_SVK,〇,2Z燃料SV基準,FLOAT,FCS1:D:602,0,～,10000,0,～,10000,,,
32,アナログ,G_2ZF_NF1,〇,2Z燃焼ﾊﾞｰﾅ負荷,FLOAT,FCS1:D:604,0,～,10000,0,～,10000,,,
33,アナログ,G_2ZU1,〇,2Z空気比補正,FLOAT,FCS1:D:606,0,～,10000,0,～,10000,,,
37,アナログ,G_2ZFSET,〇,2Z燃料設定,FLOAT,FCS1:D:614,0,～,10000,0,～,10000,,,
42,アナログ,G_2ZASET,〇,2Z空気設定,FLOAT,FCS1:D:624,0,～,10000,0,～,10000,,,
45,アナログ,G_2ZU,〇,2Z空気比設定,FLOAT,FCS1:D:630,0,～,10000,0,～,10000,,,
46,アナログ,G_2ZNFS,〇,2Z燃料流量,FLOAT,FCS1:D:632,0,～,10000,0,～,10000,,,
47,アナログ,G_2ZAIRS,〇,2Z空気流量,FLOAT,FCS1:D:634,0,～,10000,0,～,10000,,,
49,アナログ,G_2ZEX0,〇,2Z排ｶﾞｽ流量,FLOAT,FCS1:D:638,0,～,10000,0,～,10000,,,
50,アナログ,G_2ZEX,〇,2Z排ｶﾞｽ流量,FLOAT,FCS1:D:640,0,～,10000,0,～,10000,,,
58,アナログ,G_2ZFNF1,〇,2Zﾊﾞｰﾅ本数,FLOAT,FCS1:D:656,0,～,10000,0,～,10000,,,
59,アナログ,G_3ZTIC,〇,3Z燃焼量指令,FLOAT,FCS1:D:700,0,～,10000,0,～,10000,,,
61,アナログ,G_3ZF_NF1,〇,3Z燃焼ﾊﾞｰﾅ負荷,FLOAT,FCS1:D:704,0,～,10000,0,～,10000,,,
74,アナログ,G_3ZU,〇,3Z空気比設定,FLOAT,FCS1:D:730,0,～,10000,0,～,10000,,,
75,アナログ,G_3ZNFS,〇,3Z燃料流量,FLOAT,FCS1:D:732,0,～,10000,0,～,10000,,,
76,アナログ,G_3ZAIRS,〇,3Z空気流量,FLOAT,FCS1:D:734,0,～,10000,0,～,10000,,,
78,アナログ,G_3ZEX0,〇,3Z排ｶﾞｽ流量,FLOAT,FCS1:D:738,0,～,10000,0,～,10000,,,
79,アナログ,G_3ZEX,〇,3Z排ｶﾞｽ流量,FLOAT,FCS1:D:740,0,～,10000,0,～,10000,,,
87,アナログ,G_3ZFNF1,〇,3Zﾊﾞｰﾅ本数,FLOAT,FCS1:D:756,0,～,10000,0,～,10000,,,
88,アナログ,G_4ZTIC,〇,4Z燃焼量指令,FLOAT,FCS1:D:800,0,～,10000,0,～,10000,,,
90,アナログ,G_4ZF_NF1,〇,4Z燃焼ﾊﾞｰﾅ負荷,FLOAT,FCS1:D:804,0,～,10000,0,～,10000,,,
91,アナログ,G_4ZU1,〇,4Z空気比補正,FLOAT,FCS1:D:806,0,～,10000,0,～,10000,,,
95,アナログ,G_4ZFSET,〇,4Z燃料設定,FLOAT,FCS1:D:814,0,～,10000,0,～,10000,,,
103,アナログ,G_4ZU,〇,4Z空気比設定,FLOAT,FCS1:D:830,0,～,10000,0,～,10000,,,
104,アナログ,G_4ZNFS,〇,4Z燃料流量,FLOAT,FCS1:D:832,0,～,10000,0,～,10000,,,
105,アナログ,G_4ZAIRS,〇,4Z空気流量,FLOAT,FCS1:D:834,0,～,10000,0,～,10000,,,
106,アナログ,G_4ZATS,〇,4Zｱﾄﾏｲｽﾞ流量,FLOAT,FCS1:D:836,0,～,10000,0,～,10000,,,
107,アナログ,G_4ZEX0,〇,4Z排ｶﾞｽ流量,FLOAT,FCS1:D:838,0,～,10000,0,～,10000,,,
108,アナログ,G_4ZEX,〇,4Z排ｶﾞｽ流量,FLOAT,FCS1:D:840,0,～,10000,0,～,10000,,,
117,アナログ,TMP00,〇,演算用,WORD,FCS1:D:990,0,～,10000,0,～,10000,,,
127,アナログ,U1,〇,空気比_連続,FLOAT,FCS1:D:1000,0,～,10000,0,～,10000,,,
128,アナログ,U2,〇,空気比_ﾘｼﾞｪﾈ,FLOAT,FCS1:D:1002,0,～,10000,0,～,10000,,,
129,アナログ,A0LNG,〇,理論空気量,FLOAT,FCS1:D:1004,0,～,10000,0,～,10000,,,
130,アナログ,G0LNG,〇,理論排ｶﾞｽ量,FLOAT,FCS1:D:1006,0,～,10000,0,～,10000,,,
131,アナログ,A0LSA,〇,理論空気量,FLOAT,FCS1:D:1008,0,～,10000,0,～,10000,,,
132,アナログ,G0LSA,〇,理論排ｶﾞｽ量,FLOAT,FCS1:D:1010,0,～,10000,0,～,10000,,,
133,アナログ,U1LNG,〇,空気比連続LNG,FLOAT,FCS1:D:1012,0,～,10000,0,～,10000,,,
134,アナログ,U2LNG,〇,空気比ﾘｼﾞｪﾈLNG,FLOAT,FCS1:D:1014,0,～,10000,0,～,10000,,,
141,アナログ,TSP1001,〇,加熱帯上部  PC温度設定,FLOAT,FCS1:D:1100,0,～,10000,0,～,10000,,,
142,アナログ,TSP2001,〇,加熱帯下部  PC温度設定,FLOAT,FCS1:D:1102,0,～,10000,0,～,10000,,,
143,アナログ,TSP3001,〇,均熱帯上部  PC温度設定,FLOAT,FCS1:D:1104,0,～,10000,0,～,10000,,,
144,アナログ,TSP4001,〇,均熱帯下部  PC温度設定,FLOAT,FCS1:D:1106,0,～,10000,0,～,10000,,,
145,アナログ,PLC1004,〇,加熱帯上部自動PB率,FLOAT,FCS1:D:1110,0,～,10000,0,～,10000,,,
146,アナログ,PLC2004,〇,加熱帯下部自動PB率,FLOAT,FCS1:D:1112,0,～,10000,0,～,10000,,,
147,アナログ,PLC3004,〇,均熱帯上部自動PB率,FLOAT,FCS1:D:1114,0,～,10000,0,～,10000,,,
148,アナログ,PLC4004,〇,均熱帯上部自動PB率,FLOAT,FCS1:D:1116,0,～,10000,0,～,10000,,,
